TableID,Frequency,Year,Quarter,Industry,IndustrYDescription,DataValue,NoteRef
1,A,2021,2021,532RL,Rental and leasing services and lessors of intangible assets,280.1,1
1,A,2021,2021,54,"Professional, scientific, and technical services",1882.4,1
1,A,2021,2021,5411,Legal services,326.5,1
1,A,2021,2021,5412OP,"Miscellaneous professional, scientific, and technical services",1120.5,1
1,A,2021,2021,5415,Computer systems design and related services,435.4,1
1,A,2021,2021,55,Management of companies and enterprises,442.1,1
1,A,2021,2021,56,Administrative and waste management services,739.7,1
1,A,2021,2021,561,Administrative and support services,671.6,1
1,A,2021,2021,562,Waste management and remediation services,68.1,1
1,A,2021,2021,6,"Educational services, health care, and social assistance",2004.2,1
1,A,2021,2021,61,Educational services,270.0,1
1,A,2021,2021,62,Health care and social assistance,1734.2,1
